,time,Ord_total_fees,Total_Inscriptions,Ordinals_Inscription,weight,daily_avg_size,Ave_tra_fee_rate,hour_market_TotalV,hour_market_TotalT,cnt,Ord_Size_Usage,Ord_vSize_Usage,Ord_hour_fees,hash_rate,num_addresses,tx_count,price,ma_50,ma_100,ma_200
61,2023-04-17,176.23021250999977,1158131.0,1275.9166666666667,25791583.916666668,1815826.9130953175,8.23569911726384,12871.314896217917,35.0,54.375,2778637.875,794848.25,0.0348156299999997,381.5253777068688,32691.791666666668,13174.708333333334,29733.29072916665,26338.260381250024,24295.2462503472,21521.569247934756
62,2023-04-18,176.71939985999984,1173156.0,626.0416666666666,27456153.58333333,1807711.5913074715,7.982478371799615,10141.558741899396,29.541666666666668,48.25,2281462.083333333,620075.125,0.0203828062499999,443.146887419486,39129.333333333336,13021.75,29967.16684027776,26468.283648611134,24425.355655902757,21574.354232886897
63,2023-04-19,177.20979292999982,1184258.0,462.5833333333333,23129930.58333333,1797987.64573818,10.343715352664091,7193.880243880642,39.375,54.875,2685715.1666666665,706882.8333333334,0.0204330445833332,388.3398747823096,30165.041666666668,12571.75,29600.62631944446,26592.442952083355,24548.93546631942,21624.20685454253
64,2023-04-20,177.51535805999993,1193102.0,368.5,21586454.25,1729840.6350509103,12.042585551526086,5510.949028520196,36.333333333333336,54.875,2008025.4166666667,530396.5833333334,0.0127318804166666,365.92476807948486,28079.95833333333,12361.791666666666,28697.35020833336,26694.281230555574,24662.94236666664,21667.868233269637
65,2023-04-21,178.1617985999999,1248597.0,2312.2916666666665,24128772.0,1681788.7697178891,11.422150829352764,5064.214653515009,36.375,54.41666666666666,3022399.958333333,926663.9166666666,0.0269350224999998,355.2735014264308,31039.95833333333,14675.75,27976.594861111127,26784.92673958336,24768.06883958331,21706.57207761222
66,2023-04-22,179.34967597999994,1348284.0,4153.625,22822723.20833333,1782702.207658274,7.206757400551762,3479.7688553897747,22.75,35.875,3857674.3333333335,1334274.4583333333,0.0494948908333329,413.9013795170236,28221.416666666668,14781.333333333334,27453.540694444444,26885.2616590278,24859.220601736088,21741.614569178277
67,2023-04-23,180.98822481,1541347.0,8044.291666666667,22775589.416666668,1562716.4889175107,6.6197294507262585,14020.20052322651,35.25,52.41666666666666,3819232.4583333335,1725686.7916666667,0.0682728679166664,377.2046944153744,24894.25,18031.666666666668,27612.675798611075,26990.54669305557,24944.60751180553,21777.19675844756
68,2023-04-24,182.02845957,1629086.0,3655.7916666666665,23361001.33333333,1644475.253424785,9.033070790080163,6124.795750712598,27.125,42.29166666666666,2611042.0,990225.3333333334,0.0433431150000006,351.5299513768451,30638.916666666668,15007.208333333334,27518.019340277788,27092.196154861133,25011.70660729164,21811.780027012803
69,2023-04-25,184.01741138,1712979.0,3495.5416666666665,20800231.791666668,1636215.2380637657,15.353702126205484,9455.817643384167,69.16666666666667,77.29166666666667,1534244.75,725626.3333333334,0.0828729920833334,345.54681777761454,26290.541666666668,15410.125,27538.577222222222,27194.359247222244,25079.21712256942,21846.072225786516
70,2023-04-26,188.0933443399999,1863979.0,6291.666666666667,21632854.291666668,1546957.3800193127,17.0284678209298,13174.19785499516,50.875,63.958333333333336,2489328.375,1243353.5,0.1698305399999996,341.68610997622983,24099.666666666668,18185.875,28835.14003472229,27324.180632638912,25157.0798628472,21887.67381988732
71,2023-04-27,193.76442632,1988000.0,5167.541666666667,21633797.95833333,1560158.8664752098,22.07438670887946,14674.551520935413,29.08333333333333,49.583333333333336,1984347.0833333333,998758.5416666666,0.2362950825000011,360.7598365079878,24881.0,17454.666666666668,29159.43704861113,27466.000536805583,25236.622580208303,21930.70200467267
72,2023-04-28,200.5357303599997,2165498.0,7395.75,24461422.875,1602005.559845261,21.05326096614033,16268.325961498414,37.41666666666666,59.41666666666666,2824223.208333333,1444679.7083333333,0.2821376683333264,377.6825602948149,26711.041666666668,20146.75,29352.178611111205,27624.304317361137,25318.729314236087,21974.357749416424
73,2023-04-29,211.5983370099994,2388809.0,9304.625,22797216.916666668,1592477.529502144,20.425572754685277,20356.21755604223,42.583333333333336,65.04166666666667,3373500.6666666665,1709296.5,0.4609419437499849,352.33587720321094,22380.125,20251.291666666668,29324.78493055544,27811.1312277778,25403.35414444442,22017.34270369209
74,2023-04-30,227.38226745999947,2696174.0,12806.875,24626998.875,1634917.2385114173,20.369786037247213,83075.15954261027,127.58333333333331,159.75,4643023.291666667,2379026.458333333,0.6576637687500024,400.4199521084728,21101.041666666668,23688.166666666668,29370.198055555626,27992.12017569447,25483.96485729164,22060.091862714555
75,2023-05-01,250.3849992700001,3069006.0,15534.666666666666,30284878.916666668,1655836.2185892276,24.53057097838901,123007.90377304454,226.45833333333331,247.125,5663459.333333333,2877004.5416666665,0.958447158750026,443.8367082533114,26732.291666666668,28428.375,28471.035798611123,28147.088700000026,25539.70185104164,22097.1493421128
76,2023-05-02,278.7907126900004,3265765.0,8198.291666666666,21467266.08333333,1647130.083389436,54.04383662930033,91711.78716719348,190.04166666666663,235.16666666666663,3053479.458333333,1578805.7083333333,1.1835713925000035,378.3491307515531,21402.625,19071.166666666668,28291.341354166638,28251.852023611133,25594.355844444413,22132.748146779777
77,2023-05-03,293.1248075200002,3425381.0,6650.666666666667,23295908.166666668,1628808.5454545247,57.5494750526966,77984.31264590567,156.54166666666666,199.08333333333331,2467376.833333333,1242437.9166666667,0.5972539512499963,403.7454892669194,26767.20833333333,20398.291666666668,28582.66249999999,28326.404273611133,25651.69660312497,22169.60480022675
78,2023-05-04,308.0479681200002,3632050.0,8611.208333333334,24294102.5,1596327.6948733055,56.4846006237312,68951.00976623232,119.125,160.33333333333334,3177522.333333333,1599199.5833333333,0.6217983583333383,404.556147536605,25342.45833333333,20463.45833333333,29020.36722222221,28413.483461111136,25712.0414114583,22208.52958671536
79,2023-05-05,329.49078913000017,3776366.0,6013.166666666667,19802137.916666668,1602756.685078453,78.23044487897569,204406.7823144039,298.0833333333333,330.0833333333333,2216265.5416666665,1132454.7083333333,0.8934508754166712,310.8749256797239,20569.166666666668,17142.875,29298.174131944437,28505.44370625003,25777.768039583298,22248.584075671453
80,2023-05-06,394.6176563200012,4101170.0,13533.5,24627607.20833333,1642332.8866894466,79.14951991853154,399495.2591989942,488.5416666666667,589.5833333333334,5042229.5,2584801.0,2.713619466250043,384.1065462285375,19974.416666666668,25047.25,29180.95916666664,28562.539483333367,25838.71636111108,22287.53000314896
81,2023-05-07,641.6905306600006,4501261.0,16670.458333333332,22797011.83333333,1666154.696066525,157.56954884422865,506822.2444478024,536.6666666666666,614.9583333333334,6046964.0,3142721.25,10.294703097499982,324.42518546963834,14001.166666666666,25328.45833333333,28961.60131944445,28593.940730555587,25898.165717013857,22324.81531776513
82,2023-05-08,899.3947819600007,4825855.0,13524.75,22797020.5,1630388.081184205,272.9031882194782,770461.893257116,729.75,849.1666666666666,4855979.25,2498722.0,10.737677137500002,384.3136058418999,17903.375,23960.45833333333,27995.26774305553,28604.263184027808,25947.702902083303,22356.31783123897
83,2023-05-09,1050.4471880299998,5147751.0,13412.333333333334,24960684.541666668,1682512.3534500692,179.50549404822155,544363.7351110246,583.3333333333334,770.25,4888364.791666667,2522150.25,6.2938502529166405,389.5333137700798,21158.75,24927.33333333333,27647.920694444463,28598.847656250036,25989.72776354164,22385.553206173805
84,2023-05-10,1148.8374436400009,5502449.0,14779.083333333334,27953785.375,1679486.6878595373,123.32666609961886,537735.4367016585,535.125,732.3333333333334,5686421.375,2839472.125,4.099593983750029,404.0689399693969,25077.83333333333,27986.166666666668,27769.892118055566,28594.210708333365,26034.43366180552,22415.137485909418
85,2023-05-11,1184.0084726100013,5783683.0,11718.083333333334,24960189.75,1609602.931313608,75.13687039959949,223585.01114278196,355.875,509.2916666666667,4943467.583333333,2372692.2916666665,1.4654595404166697,409.3071363316784,23272.83333333333,22772.875,27318.833472222224,28578.68226388892,26077.854742361076,22441.933638840088
